Order,Mission ID,DepartureICAO,DestinationICAO,Distance,Descript
1,622e6c58-1e45-454b-8c98-1554f0c4bbf3,YSSY,YBHM,824.0,#1n
2,d625f112-32d0-4d79-8a88-f8639af595dd,YBHM,YSCB,897.0,#2n
3,47eaa4a1-2467-4724-964e-feec8bcdb82e,YSCB,YBCG,482.0,#2n
4,81ab8aa3-e115-457d-bcf4-5bf776ae81e0,YBCG,NZWN,1308.0,#1n
5,81ab8aa3-e115-457d-bcf4-5bf776ae81e0,NZWN,YPAD,1741.0,#2
6,81ab8aa3-e115-457d-bcf4-5bf776ae81e0,YPAD,NZWN,1741.0,#2n
7,81ab8aa3-e115-457d-bcf4-5bf776ae81e0,NZWN,YBCG,1308.0,#1
8,47eaa4a1-2467-4724-964e-feec8bcdb82e,YBCG,YPPH,1953.0,#1
9,47eaa4a1-2467-4724-964e-feec8bcdb82e,YPPH,YBCG,1953.0,#1n
10,47eaa4a1-2467-4724-964e-feec8bcdb82e,YBCG,YSCB,482.0,#2
11,d625f112-32d0-4d79-8a88-f8639af595dd,YSCB,YBRK,719.0,#1
12,d625f112-32d0-4d79-8a88-f8639af595dd,YBRK,YSCB,719.0,#1n
13,d625f112-32d0-4d79-8a88-f8639af595dd,YSCB,YBHM,897.0,#2
14,622e6c58-1e45-454b-8c98-1554f0c4bbf3,YBHM,YMML,1061.0,#2
15,622e6c58-1e45-454b-8c98-1554f0c4bbf3,YMML,YBHM,1061.0,#2n
16,622e6c58-1e45-454b-8c98-1554f0c4bbf3,YBHM,YSSY,824.0,#1
