Order,Mission ID,DepartureICAO,DestinationICAO,Distance,Descript
1,5a2bc086-fb0b-4525-b64e-02442704365e,YPAD,YBRK,933.0,#3n
2,9f327723-04c9-4783-91f9-12064c61e945,YBRK,YSCB,719.0,#3
3,6e7cae20-fa58-4ce3-ae06-92383325badd,YSCB,YBMK,848.0,#1n
4,6e7cae20-fa58-4ce3-ae06-92383325badd,YBMK,YSCB,848.0,#1
5,9f327723-04c9-4783-91f9-12064c61e945,YSCB,YBRK,719.0,#3n
6,9f327723-04c9-4783-91f9-12064c61e945,YBRK,YMML,905.0,#1
7,9f327723-04c9-4783-91f9-12064c61e945,YMML,YBRK,905.0,#1n
8,9f327723-04c9-4783-91f9-12064c61e945,YBRK,YSSY,635.0,#2
9,9f327723-04c9-4783-91f9-12064c61e945,YSSY,YBRK,635.0,#2n
10,5a2bc086-fb0b-4525-b64e-02442704365e,YBRK,YMML,905.0,#1
11,5a2bc086-fb0b-4525-b64e-02442704365e,YMML,YBRK,905.0,#1n
12,5a2bc086-fb0b-4525-b64e-02442704365e,YBRK,YSSY,635.0,#2
13,5a2bc086-fb0b-4525-b64e-02442704365e,YSSY,YBRK,635.0,#2n
14,5a2bc086-fb0b-4525-b64e-02442704365e,YBRK,YSSY,635.0,#4
15,5a2bc086-fb0b-4525-b64e-02442704365e,YSSY,YBRK,635.0,#4n
16,5a2bc086-fb0b-4525-b64e-02442704365e,YBRK,YPAD,933.0,#3
