Order,Mission ID,DepartureICAO,DestinationICAO,Distance,Descript
1,b9aff3c1-2240-4f7f-9807-f71615bdaacb,YMHB,YPPH,1627.0,#1n
2,c29ec52a-69a4-4f93-a51f-00b07e965ee7,YPPH,YBMK,1887.0,#2
3,36776916-b080-459b-916a-b48dc2a1e8af,YBMK,YPPH,1887.0,#2n
4,a00f08d2-ee05-4b96-a166-e76e92946897,YPPH,YPAD,1142.0,#1
5,a00f08d2-ee05-4b96-a166-e76e92946897,YPAD,YPPH,1142.0,#1n
6,36776916-b080-459b-916a-b48dc2a1e8af,YPPH,YMLT,1598.0,#1
7,36776916-b080-459b-916a-b48dc2a1e8af,YMLT,YPPH,1598.0,#1n
8,36776916-b080-459b-916a-b48dc2a1e8af,YPPH,YBMK,1887.0,#2
9,c29ec52a-69a4-4f93-a51f-00b07e965ee7,YBMK,YPPH,1887.0,#2n
10,c29ec52a-69a4-4f93-a51f-00b07e965ee7,YPPH,YSCB,1665.0,#1
11,c29ec52a-69a4-4f93-a51f-00b07e965ee7,YSCB,YPPH,1665.0,#1n
12,b9aff3c1-2240-4f7f-9807-f71615bdaacb,YPPH,YMHB,1627.0,#1
