Order,Mission ID,DepartureICAO,DestinationICAO,Distance,Descript
1,364e0890-2953-44bb-a5f7-d3e2621500da,YPAD,YBRK,933.0,#2n
2,4b897b67-ca4a-4bcf-9bd7-816c57f7a2bf,YBRK,YPAD,933.0,#1n
3,0d9e7cec-a39b-4f48-bd48-cd9c4bda2454,YPAD,YBBN,874.0,#2n
4,f48e726a-18ea-47f5-9a07-0fed804b6a87,YBBN,YMLT,898.0,#2
5,28e98742-b23a-4867-bb00-0ef30e9db30a,YMLT,YPPH,1598.0,#1
6,28e98742-b23a-4867-bb00-0ef30e9db30a,YPPH,YMLT,1598.0,#1n
7,f48e726a-18ea-47f5-9a07-0fed804b6a87,YMLT,YBBN,898.0,#2n
8,f48e726a-18ea-47f5-9a07-0fed804b6a87,YBBN,YPPH,1947.0,#1
9,f48e726a-18ea-47f5-9a07-0fed804b6a87,YPPH,YBBN,1947.0,#1n
10,0d9e7cec-a39b-4f48-bd48-cd9c4bda2454,YBBN,YMLT,898.0,#1
11,0d9e7cec-a39b-4f48-bd48-cd9c4bda2454,YMLT,YBBN,898.0,#1n
12,0d9e7cec-a39b-4f48-bd48-cd9c4bda2454,YBBN,YPAD,874.0,#2
13,4b897b67-ca4a-4bcf-9bd7-816c57f7a2bf,YPAD,YBRK,933.0,#1
14,364e0890-2953-44bb-a5f7-d3e2621500da,YBRK,YMML,905.0,#1
15,364e0890-2953-44bb-a5f7-d3e2621500da,YMML,YBRK,905.0,#1n
16,364e0890-2953-44bb-a5f7-d3e2621500da,YBRK,YPAD,933.0,#2
