Order,Mission ID,DepartureICAO,DestinationICAO,Distance,Descript
1,e014ba59-033a-40c2-88f6-50910ffc36d1,YMML,YPPH,1457.0,#1n
2,4ebd96e9-bce3-43c6-bfba-16f1c4a763af,YPPH,YBBN,1947.0,#1
3,5ab0a1d5-6641-43d9-9195-b2642280829d,YBBN,NZAA,1239.0,#3
4,e5fa6ecd-9ba0-40e6-a20d-cb7cbc7cb225,NZAA,YMML,1423.0,#1
5,081a018e-a965-48b3-9e2d-84e8a04e7b0d,YMML,YMLT,257.0,#1n
6,081a018e-a965-48b3-9e2d-84e8a04e7b0d,YMLT,YMML,257.0,#1
7,e5fa6ecd-9ba0-40e6-a20d-cb7cbc7cb225,YMML,NZAA,1423.0,#1n
8,5ab0a1d5-6641-43d9-9195-b2642280829d,NZAA,YBBN,1239.0,#3n
9,5ab0a1d5-6641-43d9-9195-b2642280829d,YBBN,YBHM,480.0,#2
10,5ab0a1d5-6641-43d9-9195-b2642280829d,YBHM,YBBN,480.0,#2n
11,5ab0a1d5-6641-43d9-9195-b2642280829d,YBBN,NZQN,1296.0,#4
12,5ab0a1d5-6641-43d9-9195-b2642280829d,NZQN,YBBN,1296.0,#4n
13,5ab0a1d5-6641-43d9-9195-b2642280829d,YBBN,YMLT,898.0,#1
14,5ab0a1d5-6641-43d9-9195-b2642280829d,YMLT,YBBN,898.0,#1n
15,4ebd96e9-bce3-43c6-bfba-16f1c4a763af,YBBN,YPPH,1947.0,#1n
16,e014ba59-033a-40c2-88f6-50910ffc36d1,YPPH,YMML,1457.0,#1
