Origin,Destination,Approved
INCOZ - NFFN,INCOZ - NFFN,False
INCOZ - NZAA,INCOZ - NFFN,False
INCOZ - NZCH,INCOZ - NFFN,False
INCOZ - NZGS,INCOZ - NFFN,False
INCOZ - NZMF,INCOZ - NFFN,False
INCOZ - NZMJ,INCOZ - NFFN,False
INCOZ - NZNS,INCOZ - NFFN,False
INCOZ - NZNV,INCOZ - NFFN,False
INCOZ - NZQE,INCOZ - NFFN,False
INCOZ - NZQN,INCOZ - NFFN,False
INCOZ - NZRO,INCOZ - NFFN,False
INCOZ - NZTL,INCOZ - NFFN,False
INCOZ - NZWN,INCOZ - NFFN,False
INCOZ - NZWR,INCOZ - NFFN,False
INCOZ - NZWS,INCOZ - NFFN,False
INCOZ - RJCH,INCOZ - NFFN,False
INCOZ - RJOA,INCOZ - NFFN,False
INCOZ - RJOO,INCOZ - NFFN,False
INCOZ - RKPK,INCOZ - NFFN,False
INCOZ - RKTN,INCOZ - NFFN,False
INCOZ - ROAH,INCOZ - NFFN,False
INCOZ - SCEL,INCOZ - NFFN,False
INCOZ - SCIP,INCOZ - NFFN,False
INCOZ - SEQM,INCOZ - NFFN,False
INCOZ - VHHX,INCOZ - NFFN,False
INCOZ - VNKT,INCOZ - NFFN,False
INCOZ - WADD,INCOZ - NFFN,False
INCOZ - WSSS,INCOZ - NFFN,False
INCOZ - YBBN,INCOZ - NFFN,False
INCOZ - YBCG,INCOZ - NFFN,False
INCOZ - YBHM,INCOZ - NFFN,False
INCOZ - YBMK,INCOZ - NFFN,False
INCOZ - YBRK,INCOZ - NFFN,False
INCOZ - YBSU,INCOZ - NFFN,False
INCOZ - YMHB,INCOZ - NFFN,False
INCOZ - YMLT,INCOZ - NFFN,False
INCOZ - YMML,INCOZ - NFFN,False
INCOZ - YPAD,INCOZ - NFFN,False
INCOZ - YPPH,INCOZ - NFFN,False
INCOZ - YSCB,INCOZ - NFFN,False
INCOZ - YSSY,INCOZ - NFFN,False
INCOZ - NFFN,INCOZ - NZAA,False
INCOZ - NZAA,INCOZ - NZAA,False
INCOZ - NZCH,INCOZ - NZAA,True
INCOZ - NZGS,INCOZ - NZAA,False
INCOZ - NZMF,INCOZ - NZAA,False
INCOZ - NZMJ,INCOZ - NZAA,False
INCOZ - NZNS,INCOZ - NZAA,False
INCOZ - NZNV,INCOZ - NZAA,True
INCOZ - NZQE,INCOZ - NZAA,False
INCOZ - NZQN,INCOZ - NZAA,True
INCOZ - NZRO,INCOZ - NZAA,False
INCOZ - NZTL,INCOZ - NZAA,False
INCOZ - NZWN,INCOZ - NZAA,True
INCOZ - NZWR,INCOZ - NZAA,False
INCOZ - NZWS,INCOZ - NZAA,False
INCOZ - RJCH,INCOZ - NZAA,False
INCOZ - RJOA,INCOZ - NZAA,False
INCOZ - RJOO,INCOZ - NZAA,False
INCOZ - RKPK,INCOZ - NZAA,False
INCOZ - RKTN,INCOZ - NZAA,False
INCOZ - ROAH,INCOZ - NZAA,False
INCOZ - SCEL,INCOZ - NZAA,False
INCOZ - SCIP,INCOZ - NZAA,False
INCOZ - SEQM,INCOZ - NZAA,False
INCOZ - VHHX,INCOZ - NZAA,False
INCOZ - VNKT,INCOZ - NZAA,False
INCOZ - WADD,INCOZ - NZAA,False
INCOZ - WSSS,INCOZ - NZAA,False
INCOZ - YBBN,INCOZ - NZAA,True
INCOZ - YBCG,INCOZ - NZAA,True
INCOZ - YBHM,INCOZ - NZAA,False
INCOZ - YBMK,INCOZ - NZAA,False
INCOZ - YBRK,INCOZ - NZAA,False
INCOZ - YBSU,INCOZ - NZAA,False
INCOZ - YMHB,INCOZ - NZAA,True
INCOZ - YMLT,INCOZ - NZAA,False
INCOZ - YMML,INCOZ - NZAA,True
INCOZ - YPAD,INCOZ - NZAA,True
INCOZ - YPPH,INCOZ - NZAA,False
INCOZ - YSCB,INCOZ - NZAA,False
INCOZ - YSSY,INCOZ - NZAA,True
INCOZ - NFFN,INCOZ - NZCH,False
INCOZ - NZAA,INCOZ - NZCH,True
INCOZ - NZCH,INCOZ - NZCH,False
INCOZ - NZGS,INCOZ - NZCH,False
INCOZ - NZMF,INCOZ - NZCH,False
INCOZ - NZMJ,INCOZ - NZCH,False
INCOZ - NZNS,INCOZ - NZCH,False
INCOZ - NZNV,INCOZ - NZCH,True
INCOZ - NZQE,INCOZ - NZCH,False
INCOZ - NZQN,INCOZ - NZCH,False
INCOZ - NZRO,INCOZ - NZCH,False
INCOZ - NZTL,INCOZ - NZCH,False
INCOZ - NZWN,INCOZ - NZCH,True
INCOZ - NZWR,INCOZ - NZCH,False
INCOZ - NZWS,INCOZ - NZCH,False
INCOZ - RJCH,INCOZ - NZCH,False
INCOZ - RJOA,INCOZ - NZCH,False
INCOZ - RJOO,INCOZ - NZCH,False
INCOZ - RKPK,INCOZ - NZCH,False
INCOZ - RKTN,INCOZ - NZCH,False
INCOZ - ROAH,INCOZ - NZCH,False
INCOZ - SCEL,INCOZ - NZCH,False
INCOZ - SCIP,INCOZ - NZCH,False
INCOZ - SEQM,INCOZ - NZCH,False
INCOZ - VHHX,INCOZ - NZCH,False
INCOZ - VNKT,INCOZ - NZCH,False
INCOZ - WADD,INCOZ - NZCH,False
INCOZ - WSSS,INCOZ - NZCH,False
INCOZ - YBBN,INCOZ - NZCH,True
INCOZ - YBCG,INCOZ - NZCH,True
INCOZ - YBHM,INCOZ - NZCH,False
INCOZ - YBMK,INCOZ - NZCH,False
INCOZ - YBRK,INCOZ - NZCH,False
INCOZ - YBSU,INCOZ - NZCH,False
INCOZ - YMHB,INCOZ - NZCH,True
INCOZ - YMLT,INCOZ - NZCH,False
INCOZ - YMML,INCOZ - NZCH,True
INCOZ - YPAD,INCOZ - NZCH,True
INCOZ - YPPH,INCOZ - NZCH,False
INCOZ - YSCB,INCOZ - NZCH,False
INCOZ - YSSY,INCOZ - NZCH,True
INCOZ - NFFN,INCOZ - NZGS,False
INCOZ - NZAA,INCOZ - NZGS,False
INCOZ - NZCH,INCOZ - NZGS,False
INCOZ - NZGS,INCOZ - NZGS,False
INCOZ - NZMF,INCOZ - NZGS,False
INCOZ - NZMJ,INCOZ - NZGS,False
INCOZ - NZNS,INCOZ - NZGS,False
INCOZ - NZNV,INCOZ - NZGS,False
INCOZ - NZQE,INCOZ - NZGS,False
INCOZ - NZQN,INCOZ - NZGS,False
INCOZ - NZRO,INCOZ - NZGS,False
INCOZ - NZTL,INCOZ - NZGS,False
INCOZ - NZWN,INCOZ - NZGS,False
INCOZ - NZWR,INCOZ - NZGS,False
INCOZ - NZWS,INCOZ - NZGS,False
INCOZ - RJCH,INCOZ - NZGS,False
INCOZ - RJOA,INCOZ - NZGS,False
INCOZ - RJOO,INCOZ - NZGS,False
INCOZ - RKPK,INCOZ - NZGS,False
INCOZ - RKTN,INCOZ - NZGS,False
INCOZ - ROAH,INCOZ - NZGS,False
INCOZ - SCEL,INCOZ - NZGS,False
INCOZ - SCIP,INCOZ - NZGS,False
INCOZ - SEQM,INCOZ - NZGS,False
INCOZ - VHHX,INCOZ - NZGS,False
INCOZ - VNKT,INCOZ - NZGS,False
INCOZ - WADD,INCOZ - NZGS,False
INCOZ - WSSS,INCOZ - NZGS,False
INCOZ - YBBN,INCOZ - NZGS,False
INCOZ - YBCG,INCOZ - NZGS,False
INCOZ - YBHM,INCOZ - NZGS,False
INCOZ - YBMK,INCOZ - NZGS,False
INCOZ - YBRK,INCOZ - NZGS,False
INCOZ - YBSU,INCOZ - NZGS,False
INCOZ - YMHB,INCOZ - NZGS,False
INCOZ - YMLT,INCOZ - NZGS,False
INCOZ - YMML,INCOZ - NZGS,False
INCOZ - YPAD,INCOZ - NZGS,False
INCOZ - YPPH,INCOZ - NZGS,False
INCOZ - YSCB,INCOZ - NZGS,False
INCOZ - YSSY,INCOZ - NZGS,False
INCOZ - NFFN,INCOZ - NZMF,False
INCOZ - NZAA,INCOZ - NZMF,False
INCOZ - NZCH,INCOZ - NZMF,False
INCOZ - NZGS,INCOZ - NZMF,False
INCOZ - NZMF,INCOZ - NZMF,False
INCOZ - NZMJ,INCOZ - NZMF,False
INCOZ - NZNS,INCOZ - NZMF,False
INCOZ - NZNV,INCOZ - NZMF,False
INCOZ - NZQE,INCOZ - NZMF,False
INCOZ - NZQN,INCOZ - NZMF,False
INCOZ - NZRO,INCOZ - NZMF,False
INCOZ - NZTL,INCOZ - NZMF,False
INCOZ - NZWN,INCOZ - NZMF,False
INCOZ - NZWR,INCOZ - NZMF,False
INCOZ - NZWS,INCOZ - NZMF,False
INCOZ - RJCH,INCOZ - NZMF,False
INCOZ - RJOA,INCOZ - NZMF,False
INCOZ - RJOO,INCOZ - NZMF,False
INCOZ - RKPK,INCOZ - NZMF,False
INCOZ - RKTN,INCOZ - NZMF,False
INCOZ - ROAH,INCOZ - NZMF,False
INCOZ - SCEL,INCOZ - NZMF,False
INCOZ - SCIP,INCOZ - NZMF,False
INCOZ - SEQM,INCOZ - NZMF,False
INCOZ - VHHX,INCOZ - NZMF,False
INCOZ - VNKT,INCOZ - NZMF,False
INCOZ - WADD,INCOZ - NZMF,False
INCOZ - WSSS,INCOZ - NZMF,False
INCOZ - YBBN,INCOZ - NZMF,False
