Origin,Destination,Approved,source_file
INCOZ - NFFN,INCOZ - NFFN,False,A320.csv
INCOZ - NZAA,INCOZ - NFFN,False,A320.csv
INCOZ - NZCH,INCOZ - NFFN,False,A320.csv
INCOZ - NZGS,INCOZ - NFFN,False,A320.csv
INCOZ - NZMF,INCOZ - NFFN,False,A320.csv
INCOZ - NZMJ,INCOZ - NFFN,False,A320.csv
INCOZ - NZNS,INCOZ - NFFN,False,A320.csv
INCOZ - NZNV,INCOZ - NFFN,False,A320.csv
INCOZ - NZQE,INCOZ - NFFN,False,A320.csv
INCOZ - NZQN,INCOZ - NFFN,False,A320.csv
INCOZ - NZRO,INCOZ - NFFN,False,A320.csv
INCOZ - NZTL,INCOZ - NFFN,False,A320.csv
INCOZ - NZWN,INCOZ - NFFN,False,A320.csv
INCOZ - NZWR,INCOZ - NFFN,False,A320.csv
INCOZ - NZWS,INCOZ - NFFN,False,A320.csv
INCOZ - RJAA,INCOZ - NFFN,False,A320.csv
INCOZ - RJCC,INCOZ - NFFN,False,A320.csv
INCOZ - RJOA,INCOZ - NFFN,False,A320.csv
INCOZ - RJOO,INCOZ - NFFN,False,A320.csv
INCOZ - RKPK,INCOZ - NFFN,False,A320.csv
INCOZ - VHHX,INCOZ - NFFN,False,A320.csv
INCOZ - VNKT,INCOZ - NFFN,False,A320.csv
INCOZ - WADD,INCOZ - NFFN,False,A320.csv
INCOZ - WSSS,INCOZ - NFFN,False,A320.csv
INCOZ - YBBN,INCOZ - NFFN,False,A320.csv
INCOZ - YBCG,INCOZ - NFFN,False,A320.csv
INCOZ - YBHM,INCOZ - NFFN,False,A320.csv
INCOZ - YBMK,INCOZ - NFFN,False,A320.csv
INCOZ - YBRK,INCOZ - NFFN,False,A320.csv
INCOZ - YBSU,INCOZ - NFFN,False,A320.csv
INCOZ - YMHB,INCOZ - NFFN,False,A320.csv
INCOZ - YMLT,INCOZ - NFFN,False,A320.csv
INCOZ - YMML,INCOZ - NFFN,False,A320.csv
INCOZ - YPAD,INCOZ - NFFN,False,A320.csv
