Airport,1,2,3,4,5,6,7,8,9,10
INCOZ - AYPY,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J
INCOZ - CYVR,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ
INCOZ - EGLL,B78XJ,A388J,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ
INCOZ - FAOR,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ
INCOZ - KDFW,B78XJ,B748C,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ
INCOZ - KJFK,B748C,B78XJ,B748C,B748C,B748C,B748C,B748C,B748C,B748C,B748C
INCOZ - KLAX,B748C,A388J,B78XJ,A339J,B748C,B748C,B748C,B748C,B748C,B748C
INCOZ - KORD,B748C,B748C,B748C,B748C,B748C,B748C,B748C,B748C,B748C,B748C
INCOZ - KSFO,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ
INCOZ - NCRG,A320J,A21NJ,A320J,A320J,A320J,A320J,A320J,A320J,A320J,A320J
INCOZ - NFFN,B78XJ,B738J,A21NJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ,B78XJ
INCOZ - NFTF,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J
INCOZ - NSFA,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J
INCOZ - NWWW,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J,B738J
INCOZ - NZAA,A320J,B738J,B78XJ,A339J,B763J,B748C,A333J,A320J,A320J,A320J
INCOZ - NZCH,A320J,C25CJ,B738J,B763J,A320J,A320J,A320J,A320J,A320J,A320J
INCOZ - NZDN,A320J,A320J,A320J,A320J,A320J,A320J,A320J,A320J,A320J,A320J
INCOZ - NZGS,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ
INCOZ - NZMF,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ
INCOZ - NZMJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ
INCOZ - NZNS,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ
INCOZ - NZNV,A320J,A320J,A320J,A320J,A320J,A320J,A320J,A320J,A320J,A320J
INCOZ - NZQE,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ,C25CJ
INCOZ - NZQN,A320J,B738J,A320J,A320J,A320J,A320J,A320J,A320J,A320J,A320J
